N_person,WLE_rel,beta_kind,N_item_mean,WLE_rel_bias_mean,WLE_rel_est_mean
20,0.5,beta_even,10.813333333333334,0.019995196461040237,0.5021199785713822
20,0.5,beta_norm,11.08,0.02195496701113697,0.5000951010408954
20,0.5,beta_unif,11.219999999999999,0.0204673354572852,0.5038012939776859
20,0.6,beta_even,21.11,0.01088611736234044,0.6000381457461924
20,0.6,beta_norm,20.243333333333332,0.011940186873971902,0.6018558530504481
20,0.6,beta_unif,20.433333333333334,0.01051721193779357,0.6013751757066589
20,0.7,beta_even,21.856666666666666,0.0059445950932487555,0.7005552052036307
20,0.7,beta_norm,21.243333333333332,0.005701852449952801,0.7007788895548701
20,0.7,beta_unif,22.233333333333334,0.006564102198404302,0.7001331501827827
20,0.8,beta_even,21.593333333333334,0.006949967151035245,0.7999099827504159
20,0.8,beta_norm,22.31,0.004040912213413308,0.8000299450117553
20,0.8,beta_unif,22.10666666666667,0.005615372244723046,0.8007856695603807
20,0.9,beta_even,56.306666666666665,0.0012474721100982386,0.9000111019173008
20,0.9,beta_norm,55.9,0.0014874918595908157,0.8997210723229195
20,0.9,beta_unif,56.016666666666666,0.0012645253654819044,0.8998364428906792
50,0.5,beta_even,8.693333333333333,0.01879382173640997,0.5034601617434266
50,0.5,beta_norm,8.616666666666667,0.019316154131169272,0.5031275721286019
50,0.5,beta_unif,9.25,0.020668225255004925,0.5022186605643563
50,0.6,beta_even,12.316666666666666,0.012827838069448387,0.6024885310699706
50,0.6,beta_norm,12.18,0.012226050648243725,0.6017813179740136
50,0.6,beta_unif,12.4,0.012492954812159885,0.6013888169342891
50,0.7,beta_even,18.096666666666668,0.0072923694910646325,0.7003019739325458
50,0.7,beta_norm,16.716666666666665,0.006772138470589838,0.7002960818050994
50,0.7,beta_unif,18.756666666666668,0.006629183651972065,0.7001416403854742
50,0.8,beta_even,28.02,0.002943541057290477,0.7999726955511318
50,0.8,beta_norm,26.576666666666668,0.00310444629793129,0.8004036573320057
50,0.8,beta_unif,29.193333333333335,0.0032677454803919756,0.7999795562935336
50,0.9,beta_even,64.80666666666667,0.0018468792736478423,0.8991907516330953
50,0.9,beta_norm,62.89333333333333,0.0014166694640605593,0.8995992345468666
50,0.9,beta_unif,64.54333333333334,0.00186406589062303,0.8993531315160539
100,0.5,beta_even,9.07,0.018249238320939172,0.5025762812394486
100,0.5,beta_norm,8.876666666666667,0.017028244742667186,0.5008377778010275
100,0.5,beta_unif,9.95,0.01850292141095351,0.501982529021453
100,0.6,beta_even,13.173333333333334,0.010461275625129766,0.6025549343584783
100,0.6,beta_norm,11.856666666666667,0.01157735642182794,0.6015456622334575
100,0.6,beta_unif,13.766666666666666,0.009070520141919537,0.6012827608760676
100,0.7,beta_even,19.703333333333333,0.0054977152895461555,0.7004085751913495
100,0.7,beta_norm,17.990000000000002,0.005968365396766477,0.7006668106457656
100,0.7,beta_unif,20.296666666666667,0.005641885651870843,0.7007454158675465
100,0.8,beta_even,29.113333333333333,0.020427731891832997,0.7873036908289868
100,0.8,beta_norm,25.080000000000002,0.0030331397978793397,0.8001559925281789
100,0.8,beta_unif,30.736666666666668,0.00948512426219569,0.7981002589499052
100,0.9,beta_even,59.75666666666667,7.901518961768125e-4,0.8999785833886653
100,0.9,beta_norm,53.31333333333333,8.387983541697519e-4,0.8999868647129738
100,0.9,beta_unif,60.34666666666667,7.620751773947165e-4,0.8999539180529814
200,0.5,beta_even,9.33,0.01556721378294293,0.50279512630743906
200,0.5,beta_norm,9.06,0.016172422851068305,0.5034323046833316
200,0.5,beta_unif,10.206666666666667,0.01659208182385853,0.5025274469191293
200,0.6,beta_even,12.953333333333333,0.010100413521616768,0.6003454602533896
200,0.6,beta_norm,11.243333333333334,0.011240006678839792,0.600351494951582
200,0.6,beta_unif,13.99,0.010585609388578948,0.6016843118748366
200,0.7,beta_even,18.616666666666667,0.00685495790050083,0.7000414321224734
200,0.7,beta_norm,15.906666666666666,0.006606752364103822,0.7012428996876671
200,0.7,beta_unif,19.97,0.006369083091315939,0.699901734136538
200,0.8,beta_even,30.106666666666666,0.002349726475694638,0.7999752384010708
200,0.8,beta_norm,25.716666666666665,0.002921616830476468,0.8000666616752049
200,0.8,beta_unif,31.046666666666667,0.002549130924889034,0.7999934785006296
200,0.9,beta_even,61.58,0.003274750994604508,0.897278268727148
200,0.9,beta_norm,56.75,7.398187463159215e-4,0.900045937272129
200,0.9,beta_unif,61.64333333333333,0.0029638747418501963,0.8975949866601749
500,0.5,beta_even,9.486666666666666,0.012946098164240794,0.5027433365085429
500,0.5,beta_norm,8.66,0.016855223745857177,0.4987073608009848
500,0.5,beta_unif,10.47,0.014903515148752672,0.502614167343282
500,0.6,beta_even,13.54,0.008775565723824123,0.6016551010932607
500,0.6,beta_norm,11.716666666666667,0.010401924336951586,0.6010618174768124
500,0.6,beta_unif,14.56,0.009209372082734587,0.6006580155110165
500,0.7,beta_even,20.29,0.004942123034573609,0.7002281981469776
500,0.7,beta_norm,16.236666666666665,0.005946766415845152,0.700241765267574
500,0.7,beta_unif,21.676666666666666,0.0049426883731230106,0.6999030649262452
500,0.8,beta_even,34.82,0.0024529469092402913,0.7998016289601524
500,0.8,beta_norm,26.27,0.0027057538916711887,0.8001481564604066
500,0.8,beta_unif,35.61333333333333,0.0027171522834317763,0.7996148025586237
500,0.9,beta_even,63.76,0.011029918015913544,0.8894512934350938
500,0.9,beta_norm,54.946666666666665,7.987607016046243e-4,0.8999812628517209
500,0.9,beta_unif,63.696666666666665,0.008556461632032115,0.8919014354683934
